SEARCHED_VIN,VIN_STAR,MODEL_CODE,PROD_FROM,PROD_TO,FRAME_SHORT,CHARS_BOTTOM,MARKET,YEAR_MONTH,MAKE,MODEL_NAME,DESTINATION,ENGINE,TRANSMISSION,COLOR_CODE,TRIM_CODE
JT8CD32Z7V0039494,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,01/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",3L4,LD21
JT8CD32ZXV0039506,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,01/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",3L4,LD07
JT8CD32Z8V0039519,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,01/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",3L2,LD21
JT8CD32Z9V0039531,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,01/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",3L4,LD07
JT8CD32Z3V0039542,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,01/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",1A0,LD21
JT8CD32ZXV0039554,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,01/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",202,LD07
JT8CD32ZXV0039571,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,01/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",051,LD07
JT8CD32Z0V0039580,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,01/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",202,LD07
JT8CD32Z8V0039598,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,01/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",3L4,LD07
JT8CD32Z2V0039631,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,01/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",051,LD07
